Image,Felzenszwalb Time,SLIC Time,Quickshift Time,FBM Time,CCL Time
image0.png,6.125316381,8.931774378,28.79107618,0.01915764809,0.371742487
image1.png,5.814031124,6.665062904,28.15174031,0.01807069778,0.5593390465
image10.png,5.223087549,6.33905673,28.3820374,0.01416635513,0.4356446266
image100.png,4.892956018,6.250922203,27.58351064,0.01606225967,0.3353917599
image1000.png,5.137084723,6.733601332,27.4998796,0.02105116844,0.363669157
image1001.png,4.605419159,6.46923399,27.15144706,0.0160009861,0.4221396446
image1002.png,4.559477806,5.299623728,27.11228466,0.01716136932,0.3861980438
image1003.png,4.949847221,5.166141272,25.9935565,0.01506686211,0.3449308872
image1004.png,3.940172195,4.790612698,25.55854082,0.02518129349,0.3071124554
image1005.png,3.79640317,4.351020575,24.70909595,0.01505613327,0.3620004654
image1006.png,3.539520741,3.619177341,26.09008765,0.01105117798,0.3642199039
image1007.png,2.959188461,3.701475859,25.33369374,0.02205944061,0.3700532913
image1008.png,3.15724206,3.306208372,26.28924656,0.02005958557,0.3645079136
image1009.png,3.126121283,3.358794689,24.66935301,0.02305293083,0.4559073448
image101.png,3.428407192,3.352867126,24.77976441,0.01508903503,0.3956565857
image1010.png,3.526950598,4.028981686,25.08250737,0.01406335831,0.3506712914
image1011.png,3.281862974,3.7538414,26.03786588,0.01405072212,0.2779035568
image1012.png,3.144917488,3.561885118,28.07959843,0.01606631279,0.3420000076
image1013.png,3.505707502,3.582253695,27.75285697,0.01505541801,0.3190746307
image1014.png,2.976368904,4.134605408,27.42376661,0.01612615585,0.3558046818
image1015.png,2.712358236,3.188188553,26.51272106,0.01505422592,0.3231985569
image1016.png,2.66775918,3.146397591,28.3250165,0.01600217819,0.3119976521
image1017.png,2.96370101,3.111673355,27.77956915,0.01499986649,0.3980026245
image1018.png,3.242582321,3.235780716,26.17593217,0.01606702805,0.3587903976
image1019.png,3.670154095,3.163981676,26.79656076,0.02005028725,0.4547173977
image102.png,3.634404182,3.20419693,26.66180897,0.01600027084,0.3972434998
image1020.png,3.758517981,3.606964588,27.6975491,0.02122759819,0.4241914749
image1021.png,3.692643166,4.082996607,27.5577302,0.01299881935,0.3367705345
image1022.png,3.582633018,3.793794155,27.21149373,0.01504206657,0.3674914837
image1023.png,2.918638468,3.481473923,26.92261386,0.01606416702,0.3853428364
image1024.png,3.293717146,3.307813883,26.59027553,0.01900053024,0.3513433933
image1025.png,3.938584328,3.188392401,25.1441009,0.02300000191,0.5476186275
image1026.png,4.168069601,3.842211962,25.63532495,0.01614403725,0.3544440269
image1027.png,3.809540033,3.934198856,27.10760403,0.02109074593,0.3977146149
image1028.png,4.563720942,4.729208469,26.89690638,0.0150642395,0.4710221291
image1029.png,4.649658203,5.010632753,26.53615713,0.02114009857,0.4649038315
image103.png,3.988959551,4.997516632,26.17170978,0.02009129524,0.3778469563
image1030.png,4.092843771,4.93914175,26.88102865,0.01305747032,0.406837225
image1031.png,4.510835648,4.739767313,27.02235794,0.01205587387,0.3766772747
image1032.png,3.901297331,4.729084253,26.46734452,0.01305603981,0.3569502831
image1033.png,3.754825592,4.232999086,25.86833334,0.01406216621,0.3316779137
image1034.png,3.26356411,3.403208733,25.65143752,0.0170814991,0.3898522854
image1035.png,3.4188447,3.855607748,26.61837864,0.01699829102,0.3720448017
image1036.png,3.740667343,3.678648233,27.57505774,0.02008199692,0.3807089329
image1037.png,3.81633234,3.974279642,27.67409205,0.01200032234,0.3209540844
image1038.png,4.106251955,3.805120468,27.76911879,0.01706552505,0.4095282555
image1039.png,4.22381258,4.936905622,27.26906466,0.01206922531,0.3659181595
image104.png,4.374271393,5.060930014,26.30430865,0.01408696175,0.420691967
image1040.png,4.302149057,4.460300446,26.16401935,0.02308106422,0.4499080181
image1041.png,4.160403728,3.859078646,25.5652113,0.02483916283,0.485960722
image1042.png,3.927638531,3.836236477,24.84336114,0.0161318779,0.41518116
image1043.png,3.553986549,3.465722799,26.64439321,0.02842879295,0.3815369606
image1044.png,2.629073381,3.109251738,24.62855911,0.02004027367,0.3213641644
image1045.png,2.965986013,3.136368513,25.05599809,0.01599836349,0.3554558754
image1046.png,3.199189186,2.98341465,24.50130248,0.01999998093,0.4293489456
image1047.png,2.794306993,3.148244619,24.02026606,0.01305174828,0.4021565914
image1048.png,3.430305481,3.710826159,24.04662609,0.01599836349,0.5233716965
image1049.png,3.295841694,4.082845688,24.16017723,0.0130507946,0.2821190357
image105.png,2.834874392,3.719769478,22.9160409,0.0140414238,0.3740851879
image1050.png,2.620900154,2.842329741,24.80656981,0.01405453682,0.3357892036
image1051.png,3.35746026,2.981235266,26.17719316,0.01406121254,0.3492913246
image1052.png,2.99249959,3.306083202,26.23045659,0.0151052475,0.2948722839
image1053.png,2.526427746,2.909158945,25.60622668,0.01405882835,0.3544173241
image1054.png,2.772910357,2.968062401,25.54951859,0.01305055618,0.3038253784
image1055.png,2.691028833,3.070709944,23.79181671,0.0130944252,0.3399720192
image1056.png,3.288282633,2.997352839,24.79907417,0.02204942703,0.4614100456
image1057.png,2.917071581,2.851196051,25.29751062,0.01803851128,0.3971998692
image1058.png,3.699801922,3.154225588,24.80457306,0.02300047874,0.4236395359
image1059.png,3.397445202,3.142795324,24.97892547,0.01799869537,0.3104367256
image106.png,3.495799065,3.26309824,25.18671703,0.01400089264,0.4262738228
image1060.png,3.827163458,3.605202675,25.22308969,0.02106070518,0.4474346638
image1061.png,3.484567881,4.11042285,25.53430963,0.01205253601,0.3055381775
image1062.png,3.239474535,3.947896957,24.62317443,0.01104140282,0.3693013191
image1063.png,3.856207848,3.989596128,23.91356373,0.0130443573,0.3425631523
image1064.png,3.543919086,3.889669418,24.52408552,0.0180003643,0.3773934841
image1065.png,3.837587595,4.181260824,24.78837776,0.01905107498,0.3092536926
image1066.png,3.636815071,3.846005678,24.75526881,0.01105093956,0.4251778126
image1067.png,3.114549398,3.454480648,25.20821953,0.0111207962,0.3611724377
image1068.png,3.336095095,3.347891808,25.11532927,0.01406216621,0.2859988213
image1069.png,3.829573393,2.978981018,24.28288913,0.01600003242,0.424980402
image107.png,3.562690735,3.20408988,24.22048831,0.01207447052,0.3086173534
image1070.png,3.114724636,3.380442142,24.40808463,0.01200008392,0.3460764885
