CPU,Felzenszwalb Time,SLIC Time,Quickshift Time,FBM Time,CCL Time
Ryzen 5600X,6.125316381,8.931774378,28.79107618,0.01915764809,0.371742487
Ryzen 5600X,5.814031124,6.665062904,28.15174031,0.01807069778,0.5593390465
Ryzen 5600X,5.223087549,6.33905673,28.3820374,0.01416635513,0.4356446266
Ryzen 5600X,4.892956018,6.250922203,27.58351064,0.01606225967,0.3353917599
Ryzen 5600X,5.137084723,6.733601332,27.4998796,0.02105116844,0.363669157
Ryzen 5600X,4.605419159,6.46923399,27.15144706,0.0160009861,0.4221396446
Ryzen 5600X,4.559477806,5.299623728,27.11228466,0.01716136932,0.3861980438
Ryzen 5600X,4.949847221,5.166141272,25.9935565,0.01506686211,0.3449308872
Ryzen 5600X,3.940172195,4.790612698,25.55854082,0.02518129349,0.3071124554
Ryzen 5600X,3.79640317,4.351020575,24.70909595,0.01505613327,0.3620004654
Ryzen 5600X,3.539520741,3.619177341,26.09008765,0.01105117798,0.3642199039
Ryzen 5600X,2.959188461,3.701475859,25.33369374,0.02205944061,0.3700532913
Ryzen 5600X,3.15724206,3.306208372,26.28924656,0.02005958557,0.3645079136
Ryzen 5600X,3.126121283,3.358794689,24.66935301,0.02305293083,0.4559073448
Ryzen 5600X,3.428407192,3.352867126,24.77976441,0.01508903503,0.3956565857
Ryzen 5600X,3.526950598,4.028981686,25.08250737,0.01406335831,0.3506712914
Ryzen 5600X,3.281862974,3.7538414,26.03786588,0.01405072212,0.2779035568
Ryzen 5600X,3.144917488,3.561885118,28.07959843,0.01606631279,0.3420000076
Ryzen 5600X,3.505707502,3.582253695,27.75285697,0.01505541801,0.3190746307
Ryzen 5600X,2.976368904,4.134605408,27.42376661,0.01612615585,0.3558046818
Ryzen 5600X,2.712358236,3.188188553,26.51272106,0.01505422592,0.3231985569
Ryzen 5600X,2.66775918,3.146397591,28.3250165,0.01600217819,0.3119976521
Ryzen 5600X,2.96370101,3.111673355,27.77956915,0.01499986649,0.3980026245
Ryzen 5600X,3.242582321,3.235780716,26.17593217,0.01606702805,0.3587903976
Ryzen 5600X,3.670154095,3.163981676,26.79656076,0.02005028725,0.4547173977
Ryzen 5600X,3.634404182,3.20419693,26.66180897,0.01600027084,0.3972434998
Ryzen 5600X,3.758517981,3.606964588,27.6975491,0.02122759819,0.4241914749
Ryzen 5600X,3.692643166,4.082996607,27.5577302,0.01299881935,0.3367705345
Ryzen 5600X,3.582633018,3.793794155,27.21149373,0.01504206657,0.3674914837
Ryzen 5600X,2.918638468,3.481473923,26.92261386,0.01606416702,0.3853428364
Ryzen 5600X,3.293717146,3.307813883,26.59027553,0.01900053024,0.3513433933
Ryzen 5600X,3.938584328,3.188392401,25.1441009,0.02300000191,0.5476186275
Ryzen 5600X,4.168069601,3.842211962,25.63532495,0.01614403725,0.3544440269
Ryzen 5600X,3.809540033,3.934198856,27.10760403,0.02109074593,0.3977146149
Ryzen 5600X,4.563720942,4.729208469,26.89690638,0.0150642395,0.4710221291
Ryzen 5600X,4.649658203,5.010632753,26.53615713,0.02114009857,0.4649038315
Ryzen 5600X,3.988959551,4.997516632,26.17170978,0.02009129524,0.3778469563
Ryzen 5600X,4.092843771,4.93914175,26.88102865,0.01305747032,0.406837225
Ryzen 5600X,4.510835648,4.739767313,27.02235794,0.01205587387,0.3766772747
Ryzen 5600X,3.901297331,4.729084253,26.46734452,0.01305603981,0.3569502831
Ryzen 5600X,3.754825592,4.232999086,25.86833334,0.01406216621,0.3316779137
Ryzen 5600X,3.26356411,3.403208733,25.65143752,0.0170814991,0.3898522854
Ryzen 5600X,3.4188447,3.855607748,26.61837864,0.01699829102,0.3720448017
Ryzen 5600X,3.740667343,3.678648233,27.57505774,0.02008199692,0.3807089329
Ryzen 5600X,3.81633234,3.974279642,27.67409205,0.01200032234,0.3209540844
Ryzen 5600X,4.106251955,3.805120468,27.76911879,0.01706552505,0.4095282555
Ryzen 5600X,4.22381258,4.936905622,27.26906466,0.01206922531,0.3659181595
Ryzen 5600X,4.374271393,5.060930014,26.30430865,0.01408696175,0.420691967
Ryzen 5600X,4.302149057,4.460300446,26.16401935,0.02308106422,0.4499080181
Ryzen 5600X,4.160403728,3.859078646,25.5652113,0.02483916283,0.485960722
Ryzen 5600X,3.927638531,3.836236477,24.84336114,0.0161318779,0.41518116
Ryzen 5600X,3.553986549,3.465722799,26.64439321,0.02842879295,0.3815369606
Ryzen 5600X,2.629073381,3.109251738,24.62855911,0.02004027367,0.3213641644
Ryzen 5600X,2.965986013,3.136368513,25.05599809,0.01599836349,0.3554558754
